DOEID,MONEYPY,HOUSEHOLDER_RACE,SCALEE,UATYP10,DIVISION,
100305,14,1,0,C,Pacific,
100306,16,1,0,U,East North Central,
100307,12,1,0,U,East North Central,
100308,13,1,2,U,New England,
100309,7,1,0,U,Middle Atlantic,
100310,8,1,0,U,East North Central,
100311,7,1,0,R,South Atlantic,
100312,3,1,0,C,West North Central,
100313,7,1,0,U,Pacific,
100314,11,1,0,U,Mountain,
100315,14,1,0,R,South Atlantic,
100316,12,1,3,C,Mountain,
100317,5,1,3,U,Pacific,
100318,16,1,0,U,South Atlantic,
100319,12,1,0,C,West North Central,
100320,14,1,0,R,East North Central,
100321,13,1,0,U,New England,
100322,4,1,2,R,South Atlantic,
100323,8,2,0,U,South Atlantic,
100324,12,1,0,U,Middle Atlantic,
100325,12,1,0,U,West South Central,
100326,1,2,0,U,South Atlantic,
100327,6,6,0,U,West South Central,
100328,13,1,0,R,Pacific,
100329,13,1,0,U,Pacific,
100330,11,1,0,R,East North Central,
100331,11,1,0,U,South Atlantic,
100332,11,1,3,U,South Atlantic,
100333,16,1,0,U,West North Central,
100334,14,1,0,R,Middle Atlantic,
100335,4,1,0,U,New England,
100336,13,1,0,U,East South Central,
100337,1,1,0,U,New England,
100338,3,1,0,U,East South Central,
100339,11,1,0,C,Mountain,
100340,4,1,0,U,New England,
100341,15,1,0,U,West North Central,
100342,16,1,0,U,Mountain,
100343,14,1,0,U,South Atlantic,
100344,13,1,0,U,West South Central,
100345,15,4,0,U,Pacific,
100346,14,1,0,U,Pacific,
100347,10,2,0,U,New England,
100348,14,1,0,U,Pacific,
100349,14,2,0,U,South Atlantic,
100350,16,1,0,R,New England,
100351,14,1,0,U,New England,
100352,1,2,0,U,South Atlantic,
100353,16,1,0,U,East North Central,
100354,16,1,0,U,Middle Atlantic,
100355,10,1,0,U,Mountain,
100356,14,1,0,R,East South Central,
100357,15,2,0,U,South Atlantic,
100358,8,2,0,C,East South Central,
100359,4,2,0,R,West South Central,
100360,9,1,0,U,New England,
100361,6,2,0,U,South Atlantic,
100362,3,2,0,U,Middle Atlantic,
100363,4,2,2,U,Pacific,
100364,7,1,0,U,Mountain,
100365,14,1,0,U,Mountain,
100366,12,1,0,R,West North Central,
100367,11,1,0,U,East North Central,
100368,14,1,0,C,Mountain,
100369,8,3,0,R,Pacific,
100370,6,2,0,R,East South Central,
100371,16,1,0,U,Pacific,
100372,9,1,0,C,Mountain,
100373,16,1,0,U,East North Central,
100374,15,6,0,U,Pacific,
100375,14,1,0,R,Mountain,
100376,14,1,0,U,Mountain,
100377,11,1,0,U,West North Central,
100378,13,1,0,U,Mountain,
100379,14,1,0,U,East North Central,
100380,15,1,0,R,New England,
100381,16,1,0,C,West North Central,
100382,16,1,0,U,Middle Atlantic,
100383,6,4,0,U,East North Central,
100384,5,2,0,C,South Atlantic,
100385,13,1,0,U,East North Central,
100386,15,1,0,U,Mountain,
100387,15,1,0,U,New England,
100388,14,1,0,U,Mountain,
100389,2,1,0,C,Pacific,
100390,11,1,0,U,South Atlantic,
100391,9,1,0,U,South Atlantic,
100392,14,1,0,U,West South Central,
100393,15,1,0,U,Middle Atlantic,
100394,14,1,0,C,New England,
100395,13,1,0,C,West North Central,
100396,11,1,0,C,Middle Atlantic,
100397,11,1,0,R,West North Central,
100398,6,1,0,U,East South Central,
100399,16,1,0,U,New England,
100400,14,1,0,C,East North Central,
100401,16,1,0,U,Pacific,
100402,1,1,0,U,Pacific,
100403,15,1,0,C,New England,
100404,13,1,0,R,West South Central,
100405,14,1,0,R,South Atlantic,
100406,15,1,0,R,West North Central,
100407,15,1,0,U,South Atlantic,
100408,14,1,0,R,New England,
100409,1,1,0,U,New England,
100410,16,1,0,U,Middle Atlantic,
100411,13,1,0,U,East North Central,
100412,15,1,0,U,Pacific,
100413,1,1,0,C,West North Central,
100414,10,1,0,U,Pacific,
100415,14,1,0,U,Pacific,
100416,8,2,0,R,East North Central,
100417,1,2,0,U,West South Central,
100418,8,1,0,U,Middle Atlantic,
100419,13,1,0,U,South Atlantic,
100420,16,1,0,U,Middle Atlantic,
100421,15,2,0,U,Pacific,
100422,14,1,0,U,South Atlantic,
100423,7,4,0,U,Pacific,
100424,16,1,0,U,West South Central,
100425,7,1,0,R,East South Central,
100426,5,1,2,U,East North Central,
100427,3,1,0,U,Pacific,
100428,14,1,0,U,West South Central,
100429,16,1,0,U,Pacific,
100430,16,1,0,U,West North Central,
100431,5,2,0,U,East North Central,
100432,9,1,0,R,East North Central,
100433,16,1,0,C,West North Central,
100434,8,1,0,R,Middle Atlantic,
100435,15,1,0,U,Middle Atlantic,
100436,15,1,0,U,Pacific,
100437,16,1,0,R,West North Central,
100438,15,1,0,R,Mountain,
100439,14,1,0,U,Middle Atlantic,
100440,14,1,0,R,New England,
100441,16,1,0,U,East North Central,
100442,15,2,0,U,South Atlantic,
100443,10,1,0,R,Mountain,
100444,16,1,0,U,Middle Atlantic,
100445,14,1,0,U,New England,
100446,15,1,0,R,Mountain,
100447,9,1,0,U,Mountain,
100448,14,1,0,U,Middle Atlantic,
100449,7,2,0,U,West South Central,
100450,9,1,0,C,Mountain,
100451,14,1,0,R,West North Central,
100452,14,1,0,C,East North Central,
100453,5,1,0,R,New England,
100454,13,1,0,U,Middle Atlantic,
100455,1,3,0,U,Mountain,
100456,10,1,0,C,New England,
100457,3,1,3,C,South Atlantic,
100458,15,1,0,C,New England,
100459,11,1,0,C,West North Central,
100460,15,2,0,U,South Atlantic,
100461,11,2,0,R,West South Central,
100462,14,1,0,U,Mountain,
100463,13,1,0,R,East South Central,
100464,15,1,0,U,West South Central,
100465,10,1,0,R,South Atlantic,
100466,13,1,0,U,Pacific,
100467,12,1,0,U,West North Central,
100468,15,1,0,R,East South Central,
100469,2,2,0,U,East South Central,
100470,15,1,0,U,West South Central,
100471,15,1,0,C,South Atlantic,
100472,10,6,0,U,Mountain,
100473,15,1,0,C,South Atlantic,
100474,1,2,3,U,West South Central,
100475,15,1,0,R,East South Central,
100476,15,1,0,U,South Atlantic,
100477,6,1,0,U,Pacific,
100478,4,1,0,U,South Atlantic,
100479,16,1,0,U,East North Central,
100480,12,1,3,C,West South Central,
100481,13,1,3,U,Mountain,
100482,14,1,0,R,East North Central,
100483,12,1,2,U,East North Central,
100484,16,1,0,U,South Atlantic,
100485,7,2,0,U,South Atlantic,
100486,14,1,0,U,Mountain,
100487,15,1,0,R,New England,
100488,1,1,0,U,West South Central,
100489,1,1,0,U,South Atlantic,
100490,16,1,0,R,New England,
100491,8,1,0,U,South Atlantic,
100492,14,1,0,U,Mountain,
100493,14,1,0,U,New England,
100494,10,2,2,U,East South Central,
100495,9,1,0,U,West South Central,
100496,13,1,0,C,South Atlantic,
100497,12,1,0,U,Mountain,
100498,16,1,0,U,West South Central,
100499,12,1,0,U,East South Central,
100500,4,1,0,C,South Atlantic,
100501,15,1,0,U,Middle Atlantic,
100502,8,1,0,U,Pacific,
100503,16,1,0,U,Mountain,
100504,16,1,0,R,West North Central,
100505,8,1,1,R,Middle Atlantic,
100506,16,4,0,U,East North Central,
100507,12,4,0,U,Pacific,
100508,13,1,0,U,West South Central,
100509,7,1,0,U,West South Central,
100510,10,1,3,U,South Atlantic,
100511,8,1,0,R,Pacific,
100512,7,1,0,U,New England,
100513,11,1,0,U,Middle Atlantic,
100514,13,1,0,U,Middle Atlantic,
100515,7,1,0,R,Middle Atlantic,
100516,13,4,0,U,New England,
100517,10,1,0,R,West South Central,
100518,7,1,3,U,East North Central,
100519,6,1,0,C,Mountain,
100520,5,1,0,U,South Atlantic,
100521,15,2,0,R,East South Central,
100522,10,1,0,R,Mountain,
100523,12,1,0,U,West South Central,
100524,11,1,0,U,East North Central,
100525,13,2,0,U,South Atlantic,
100526,8,1,0,U,South Atlantic,
100527,11,1,0,U,West South Central,
100528,9,6,0,U,South Atlantic,
100529,14,1,0,U,Pacific,
100530,14,1,0,R,West South Central,
100531,7,1,0,U,East North Central,
100532,9,1,0,U,Mountain,
100533,15,1,0,U,South Atlantic,
100534,14,1,0,U,New England,
100535,12,1,0,U,East North Central,
100536,8,1,0,U,West North Central,
100537,7,2,0,U,West South Central,
100538,7,1,0,R,New England,
100539,14,1,0,R,West North Central,
100540,11,1,0,U,New England,
100541,4,1,2,C,East South Central,
100542,11,1,0,U,West North Central,
100543,5,3,2,C,Mountain,
100544,16,1,0,R,Mountain,
100545,6,2,1,U,West South Central,
100546,14,1,0,U,Middle Atlantic,
100547,16,1,0,U,Pacific,
100548,3,1,0,U,West South Central,
100549,15,1,0,U,Pacific,
100550,8,2,0,U,West South Central,
100551,15,1,0,U,South Atlantic,
100552,9,2,0,U,New England,
100553,16,1,0,R,West South Central,
100554,12,2,0,U,South Atlantic,
100555,16,6,0,U,Pacific,
100556,14,1,0,U,Pacific,
100557,15,1,0,U,New England,
100558,14,1,0,U,East North Central,
100559,16,4,0,U,Middle Atlantic,
100560,7,1,3,U,West South Central,
100561,16,1,0,U,Middle Atlantic,
100562,13,1,0,U,East North Central,
100563,16,1,0,U,Middle Atlantic,
100564,14,2,0,U,South Atlantic,
100565,16,4,0,U,Pacific,
100566,11,1,3,U,Pacific,
100567,16,1,0,U,West North Central,
100568,12,1,0,R,East South Central,
100569,14,1,0,U,Pacific,
100570,12,1,3,U,West North Central,
100571,11,1,0,U,East North Central,
100572,14,1,0,R,West South Central,
100573,15,1,0,R,South Atlantic,
100574,11,1,0,U,West North Central,
100575,7,1,0,U,East North Central,
100576,16,1,0,U,East North Central,
100577,8,1,0,U,South Atlantic,
100578,9,1,0,U,West North Central,
100579,11,1,0,R,West North Central,
100580,12,1,0,U,Pacific,
100581,12,2,2,U,East North Central,
100582,13,1,0,C,East South Central,
100583,15,1,0,U,Mountain,
100584,7,1,0,C,Middle Atlantic,
100585,9,2,0,U,New England,
100586,13,1,0,U,New England,
100587,13,1,0,U,West North Central,
100588,14,1,0,R,East South Central,
100589,16,1,0,R,East South Central,
100590,16,1,0,R,South Atlantic,
100591,12,1,0,U,New England,
100592,16,4,0,R,West South Central,
100593,12,1,3,C,West North Central,
100594,12,4,0,U,Pacific,
100595,14,1,0,U,South Atlantic,
100596,15,1,0,U,East North Central,
100597,16,1,0,U,Middle Atlantic,
100598,11,1,0,U,Mountain,
100599,13,1,0,C,Mountain,
100600,16,1,0,U,Mountain,
100601,16,1,0,R,West South Central,
100602,9,1,0,C,East North Central,
100603,12,1,0,U,Pacific,
100604,10,1,0,U,Mountain,
100605,2,3,0,U,Pacific,
100606,13,1,0,U,Pacific,
100607,14,1,0,U,Mountain,
100608,15,1,0,U,East South Central,
100609,9,1,0,R,East North Central,
100610,12,1,0,R,West North Central,
100611,13,6,0,U,East North Central,
100612,13,1,0,C,East North Central,
100613,15,1,0,C,Pacific,
100614,12,1,0,C,East North Central,
100615,7,1,0,U,South Atlantic,
100616,16,1,0,R,West South Central,
100617,16,1,0,U,South Atlantic,
100618,12,1,2,C,West North Central,
100619,16,1,0,U,Mountain,
100620,11,4,0,U,New England,
100621,12,1,3,U,East North Central,
100622,14,1,0,R,South Atlantic,
100623,14,1,0,R,New England,
100624,6,1,0,R,Pacific,
100625,2,1,0,R,East South Central,
100626,15,1,0,C,West North Central,
100627,15,1,0,U,East North Central,
100628,11,1,0,R,Middle Atlantic,
100629,11,1,0,U,Pacific,
100630,16,1,0,U,South Atlantic,
100631,5,1,1,C,Middle Atlantic,
100632,16,1,0,U,Pacific,
100633,4,1,0,U,Pacific,
100634,8,1,0,U,Middle Atlantic,
100635,14,2,0,U,Mountain,
100636,1,1,0,U,Pacific,
100637,13,1,0,U,West South Central,
100638,13,1,0,C,West South Central,
100639,4,2,0,U,Pacific,
100640,14,4,0,U,Pacific,
100641,14,1,0,U,Middle Atlantic,
100642,13,1,0,C,Pacific,
100643,16,1,0,U,Middle Atlantic,
100644,12,2,0,U,Pacific,
100645,13,1,0,U,South Atlantic,
100646,8,1,0,U,South Atlantic,
100647,11,1,0,U,Mountain,
100648,13,1,0,U,South Atlantic,
100649,15,1,0,U,West North Central,
100650,13,1,0,R,West North Central,
100651,11,1,0,C,West North Central,
100652,14,1,0,U,Mountain,
100653,15,1,0,R,East North Central,
100654,9,1,0,U,West South Central,
100655,10,1,0,U,Mountain,
100656,14,1,0,U,New England,
100657,1,4,0,U,Pacific,
100658,4,1,0,R,West South Central,
100659,13,1,0,U,East North Central,
100660,16,1,0,U,South Atlantic,
100661,12,2,2,U,Middle Atlantic,
100662,12,1,0,U,New England,
100663,16,1,0,R,New England,
100664,11,1,0,C,East South Central,
